celltype,n_cells,median_tx_per_cell,median_genes_per_cell,median_L1_tx_per_cell
Epithelial/Tumor,81218,257.000,234.500,8.000
T cell,8410,144.000,133.000,5.000
B/Plasma,17247,69.000,57.000,2.000
Myeloid,29630,161.000,148.000,5.000
Fibroblast,87209,76.000,70.000,2.000
Endothelial,9038,191.000,174.000,6.000
Mast,127355,20.000,20.000,0.000
Unassigned,55054,2.000,2.000,0.000
