celltype,n_cells,median_tx_per_cell,median_genes_per_cell,median_L1_tx_per_cell
Epithelial/Tumor,44076,203.000,63.000,198.000
T cell,19453,89.000,49.000,86.000
B/Plasma,32766,202.000,69.000,197.000
Myeloid,14641,130.000,61.000,127.000
Fibroblast,16186,177.000,67.000,174.000
Endothelial,25666,156.000,66.000,151.000
Mast,12207,205.000,76.000,199.000
Unassigned,2785,0.000,0.000,0.000
