celltype,n_cells,median_tx_per_cell,median_genes_per_cell,median_L1_tx_per_cell
Epithelial/Tumor,156189,1957.000,1308.000,59.000
T cell,97434,633.000,501.000,20.000
B/Plasma,65445,732.000,555.000,23.000
Myeloid,101986,1139.000,813.000,38.000
Fibroblast,102806,737.000,553.000,25.000
Endothelial,57179,970.000,720.000,32.000
Mast,136244,712.000,536.000,18.000
Unassigned,293,2.000,2.000,0.000
