celltype,n_cells,median_tx_per_cell,median_genes_per_cell,median_L1_tx_per_cell
Epithelial/Tumor,39261,212.000,167.000,6.000
T cell,88555,46.000,42.000,4.000
B/Plasma,14663,60.000,55.000,5.000
Myeloid,61391,81.000,72.000,6.000
Fibroblast,155769,64.000,56.000,5.000
Endothelial,25725,94.000,83.000,6.000
Mast,430937,54.000,48.000,2.000
Unassigned,24086,2.000,2.000,0.000
