gene,count
B4GAT1,15543
BAALC,1892
BAAT,414
BACE1,6189
BACE2,9447
BACH2,3318
BAD,4263
BAG2,3362
BAG3,12691
BAG6,20658
BAIAP2,10318
BAK1,20795
BANK1,4834
BAP1,20136
BARD1,4046
BARHL2,678
BARX2,4569
BATF,17431
BATF3,4256
BAX,7373
BAZ2B,6066
BBC3,5780
BCAM,38720
BCAN,2303
BCAR1,4909
BCAR3,5480
BCAR4,1010
BCAS3,7614
BCCIP,31267
BCHE,582
BCKDK,14809
BCL10,9881
BCL11A,8807
BCL11B,4910
BCL2,91344
BCL2A1,7496
BCL2L1,46051
BCL2L11,17385
BCL2L12,3715
BCL2L13,14363
BCL2L2,33083
BCL3,28385
BCL6,11998
BCL6B,3188
BCL7B,13620
BCL7C,5956
BCOR,7492
BCORL1,5821
BCR,23638
BDKRB1,1476
BDKRB2,6965
BDNF,974
BEAN1,1919
BECN1,71872
BEX2,4713
BFSP1,2064
BFSP2,1505
BGN,84479
BHMT,675
BICRAL,8135
BID,15273
BIK,5090
BIRC2,35197
BIRC3,106059
BIRC5,42528
BIRC7,1381
BLK,3698
BLM,2268
BLNK,3377
BLOC1S2,21112
BLVRA,16347
BMI1,43037
BMP2,2065
BMP2K,18090
BMP4,1159
BMP5,1476
BMP6,3736
BMP7,3484
BMP8A,5168
BMP8B,1212
BMPER,1452
BMPR1A,14090
BMPR1B,6971
BMPR2,25308
BNC1,1295
BNC2,2762
BNIP3,7885
BOLL,1404
BPIFB1,3193
BRAF,30910
BRCA1,9965
BRCA2,5085
BRD3,11571
BRD4,56329
BRDT,1356
BRI3BP,14730
BRINP1,658
BRIP1,9959
BRIX1,11813
BRSK2,780
BSDC1,23912
BST1,3343
BTAF1,28411
BTBD9,6863
BTK,9223
BTLA,5515
BTN3A1,9613
BTNL2,1058
BTRC,8352
BUB1,5029
BUB1B,4214
BVES,899
C11ORF96,61142
C1QBP,28034
C1QC,83824
C1QL3,1260
C1QTNF1,4020
C1QTNF6,12861
C1QTNF9,2014
C1RL,10132
C20ORF85,1619
C2ORF88,3014
C3AR1,3631
C4A,15741
C4B,16663
C5,2889
C5AR1,25066
C6,940
C7,14621
C8B,857
C8G,652
C9,769
CA10,819
CA12,373336
CA14,1481
CA4,1223
CA9,1403
CABCOCO1,1090
CABP4,1062
CABYR,2213
CACNA1B,1371
CACNA1C,3070
CACNA1D,2597
CACNA1G,1777
CACNA1H,14729
CACNA2D1,1745
CACNG3,814
CACNG4,51978
CACNG5,825
CACUL1,21261
CACYBP,35255
CAD,10326
CADM3,2261
CADM4,9522
CALB1,1185
CALB2,1320
CALCA,385
CALCB,1584
CALCR,1114
CALCRL,6714
CALM3,42042
CALML3,1000
CALR3,1074
CAMK1,3266
CAMK2A,971
CAMK2B,1770
CAMK2D,4070
CAMK2G,3900
CAMKV,1018
CAMP,1946
CAMSAP2,22311
CAND1,19400
CANX,74730
CAPN1,12449
CAPN3,2438
CARD10,8248
CARD11,6920
CARD14,7556
CARD8,9947
CARD9,711
CARF,7765
CARM1,5582
CARTPT,960
CASC8,1359
CASK,10482
CASP1,10793
CASP10,4388
CASP2,21457
CASP3,31024
CASP6,14964
CASP7,14778
CASP8,13224
CASP8AP2,6675
CASP9,6696
CASQ2,285
CASR,988
CASS4,7578
CASZ1,12160
CAT,9667
CATSPER2,2733
CAV2,6310
CAVIN2,1678
CAVIN3,1693
CBARP,4020
CBFB,37498
CBL,5459
CBLB,14559
CBLIF,971
CBLN1,692
CBLN3,3167
CBLN4,951
CBR1,2829
CBS,1191
CBSL,1565
CBWD2,49232
CBX1,49024
CBX3,138979
CBX5,19797
CBX7,15669
CC2D1A,9211
CCAR2,10238
CCAT2,1865
CCBE1,920
CCDC102B,4575
CCDC103,2856
CCDC113,2785
CCDC124,7270
CCDC136,2149
CCDC137,17031
CCDC14,15192
CCDC141,2255
CCDC170,2302
CCDC27,1278
CCDC33,1329
CCDC43,23395
CCDC50,22469
CCDC51,4664
CCDC57,14265
CCDC6,26164
CCDC61,3580
CCDC62,2463
CCDC7,10684
CCDC71L,65488
CCDC77,4197
CCDC80,21519
CCDC86,8677
CCDC9,17363
CCDC91,13992
CCK,940
CCKAR,606
CCKBR,1198
CCL1,1459
CCL11,4888
CCL13,4469
CCL14,3403
CCL15,1367
CCL16,1128
CCL17,876
CCL18,4424
CCL19,28001
CCL2,109160
CCL20,992
CCL22,6760
CCL23,1669
CCL24,921
CCL25,914
CCL26,1802
CCL27,1559
CCL28,2898
CCL7,1622
CCL8,3512
CCN1,46754
CCN2,50279
CCN3,1647
CCN4,9823
CCN5,2946
CCNA1,838
CCNA2,4016
CCNB1,7580
CCNB2,4137
CCNB3,1738
CCND1,178948
CCND2,35472
CCND3,8175
CCNDBP1,14094
CCNE1,2084
CCNO,1198
CCNT1,13060
CCNY,25369
CCR1,12509
CCR2,6712
CCR3,1122
CCR4,5689
CCR5,2898
CCR6,3769
CCR7,2356
CCR8,2790
CCR9,1617
CCRL2,3374
CCT2,37242
CCT3,115495
CCT5,47051
CCT6A,41601
CCT7,36064
CCT8,45846
CD101,1266
CD109,4188
CD14,11884
CD151,16156
CD160,2001
CD163,5470
CD177,875
CD180,1942
CD19,9472
CD1A,1434
CD1B,1005
CD1C,4458
CD1D,3418
CD1E,2137
CD2,14311
CD200,10046
CD207,1248
CD209,3900
CD22,6292
CD226,3837
CD244,1172
CD247,15121
CD248,3087
CD27,8072
CD274,6651
CD276,19943
CD28,9869
CD2AP,15233
CD2BP2,20820
CD300A,9299
CD300C,3322
CD300E,7794
CD302,10200
CD320,1550
CD33,1562
CD34,6878
CD36,7938
CD38,7110
CD3D,18802
CD3E,20608
CD3EAP,5939
CD3G,4356
CD4,18854
CD40,6679
CD40LG,1977
CD44,113266
CD46,50277
CD47,67491
CD5,10453
CD52,79425
CD55,16333
CD58,18712
CD59,45696
CD5L,1074
CD6,9799
CD68,13993
CD7,9325
CD70,5295
CD72,2928
CD79A,13688
CD79B,4918
CD80,2684
CD82,7045
CD83,17943
CD84,5931
CD86,6532
CD8A,30610
CD8B,3696
CD93,16113
CD96,10543
CD99,32151
CDA,1164
CDAN1,5169
CDC123,15650
CDC14A,10064
CDC20,4665
CDC25A,1996
CDC25C,2926
CDC27,38973
CDC34,15926
CDC37,21408
CDC42,50556
CDC42BPG,19144
CDC6,8422
CDC73,19252
CDCA2,2688
CDCA3,6175
CDCA7L,4513
CDCP1,5789
CDH1,53911
CDH11,9023
CDH13,2748
CDH16,1052
CDH2,1385
CDH22,1052
CDH23,921
CDH3,4448
CDH5,2328
CDH6,946
CDH7,1695
CDHR1,755
CDHR2,875
CDHR4,2541
CDK1,12868
CDK10,10151
CDK14,4035
CDK16,28940
CDK17,23670
CDK18,7630
CDK2,13380
CDK3,7574
CDK4,9012
CDK5,4564
CDK5RAP1,13921
CDK6,2784
CDK7,10249
CDK8,6590
CDK9,13218
CDKAL1,12983
CDKL1,1157
CDKL3,2559
CDKN1A,141893
CDKN1B,90347
CDKN1C,2193
CDKN2A,4363
CDKN2AIP,9589
CDKN2B,6770
CDKN3,4704
CDR2L,17746
CDSN,1217
CDV3,106937
CDX1,1388
CDX2,815
CEACAM1,1690
CEACAM3,735
CEACAM5,3891
CEACAM8,1561
CEBPA,9355
CELSR1,62237
CELSR2,54743
CELSR3,10558
CEMIP2,12985
CENPA,5066
CENPB,15666
CENPF,13038
CENPV,1964
CEP112,5982
CEP128,3336
CEP170,13932
CEP19,2594
CEP44,6179
CEP55,6324
CEP85,8976
CES1,694
CETP,1713
CFAP100,2761
CFAP20,4282
CFAP43,2564
CFAP46,2655
CFAP47,1064
CFB,20816
CFC1,1266
CFDP1,14805
CFH,8900
CFHR1,3736
CFL2,5128
CFLAR,22779
CFP,3116
CFTR,774
CGAS,7146
CGB3,1762
CGNL1,4516
CGRRF1,7172
CH25H,1671
CHAD,1643
CHAF1A,9113
CHAMP1,10494
CHD3,46260
CHD5,1327
CHD7,22784
CHEK1,4600
CHEK2,10058
CHFR,22759
CHIT1,1763
