gene,count
ADIG,793
ADIPOQ,6454
ADIPOR1,126104
ADIPOR2,57770
ADIRF,6046
ADISSP,13042
ADK,55894
ADM,22087
ADM2,10249
ADM5,2437
ADNP,86199
ADNP2,47716
ADO,48968
ADORA1,4469
ADORA2A,2763
ADORA2B,7950
ADORA3,5508
ADPGK,39670
ADPRH,11811
ADPRHL1,12530
ADPRM,7665
ADPRS,18553
ADRA1A,4610
ADRA1B,2500
ADRA1D,1849
ADRA2A,6617
ADRA2B,3227
ADRA2C,5225
ADRB1,32075
ADRB2,9465
ADRB3,1735
ADRM1,19429
ADSL,56601
ADSS1,7361
ADSS2,64501
ADTRP,6314
AEBP1,106380
AEBP2,74745
AEN,15407
AFAP1,35456
AFAP1L1,6746
AFAP1L2,30711
AFDN,128197
AFF1,91484
AFF2,3347
AFF3,358319
AFF4,45690
AFG1L,5569
AFG3L2,39344
AFM,4728
AFP,54
AFTPH,43270
AGA,36967
AGAP1,8251
AGAP2,10291
AGAP3,19896
AGAP5,58790
AGAP9,29252
AGBL1,2379
AGBL2,4319
AGBL3,2830
AGBL4,2511
AGBL5,28845
AGER,7550
AGFG2,20306
AGGF1,3775
AGK,16284
AGL,48311
AGMAT,5714
AGMO,2774
AGO1,17715
AGO2,32048
AGO3,17010
AGO4,51810
AGPAT1,56217
AGPAT2,14583
AGPAT3,63319
AGPAT4,6241
AGPAT5,15982
AGPS,64140
AGR2,69789
AGR3,426749
AGRN,59850
AGRP,344
AGT,4155
AGTPBP1,18823
AGTR1,26557
AGTR2,3760
AGTRAP,98926
AGXT,2160
AGXT2,1583
AHCTF1,1774
AHCY,38878
AHCYL1,47214
AHCYL2,31150
AHDC1,30411
AHI1,31818
AHNAK,91142
AHNAK2,10469
AHR,14203
AHRR,2874
AHSG,1846
AHSP,2257
AICDA,1720
AIDA,20909
AIF1,2462
AIF1L,12863
AIFM1,12498
AIFM2,17466
AIFM3,6842
AIG1,39135
AIM2,4829
AIMP1,99721
AIMP2,32264
AIPL1,2252
AIRE,853
AJAP1,2996
AJM1,5772
AJUBA,10997
AK1,17236
AK3,35571
AK4,19770
AK5,22591
AK6,20837
AK7,3679
AK8,13663
AK9,33120
AKAIN1,1834
AKAP1,119948
AKAP10,59370
AKAP11,30561
AKAP12,12326
AKAP13,125033
AKAP14,5236
AKAP3,4200
AKAP5,33401
AKAP6,5645
AKAP7,9017
AKAP8,30983
AKAP8L,83445
AKAP9,132977
AKIP1,32649
AKIRIN1,11370
AKIRIN2,47935
AKNA,21533
AKR1A1,200905
AKR1B1,25360
AKR1B10,2239
AKR1B15,4233
AKR1C1,8776
AKR1C2,3529
AKR1C3,15934
AKR1C4,3819
AKR1C8,2775
AKR1D1,1421
AKR1E2,15025
AKR7A2,37967
AKR7A3,1640
AKT1,238030
AKT1S1,15051
AKT2,94587
AKT3,26480
AKTIP,11985
ALAD,39576
ALAS1,26139
ALAS2,1994
ALB,4671
ALCAM,127922
ALDH16A1,18030
ALDH18A1,58354
ALDH1A1,946
ALDH1A2,7931
ALDH1A3,11476
ALDH1B1,8857
ALDH1L1,1450
ALDH1L2,7656
ALDH2,21864
ALDH3A1,450
ALDH3A2,27769
ALDH3B1,13124
ALDH3B2,46901
ALDH4A1,24640
ALDH5A1,29597
ALDH6A1,35941
ALDH7A1,5903
ALDH8A1,2017
ALDH9A1,62845
ALDOA,2943
ALDOB,458
ALDOC,8455
ALG1,20166
ALG10,5876
ALG10B,27044
ALG11,5161
ALG12,21176
ALG13,31000
ALG14,21625
ALG2,53202
ALG3,950
ALG5,14332
ALG6,12860
ALG8,31741
ALG9,14494
ALK,1220
ALKAL1,4595
ALKAL2,6520
ALKBH1,7679
ALKBH2,12973
ALKBH3,18491
ALKBH4,9381
ALKBH5,751
ALKBH6,3651
ALKBH7,1565
ALKBH8,11645
ALLC,2892
ALMS1,45816
ALOX12,1989
ALOX12B,1515
ALOX15,2875
ALOX15B,2091
ALOX5,12209
ALOX5AP,8126
ALOXE3,2293
ALPG,164
ALPI,1346
ALPK1,18065
ALPK2,4176
ALPK3,11071
ALPL,11856
ALPP,1569
ALS2,24134
ALS2CL,3594
ALX1,3291
ALX3,4147
ALX4,10186
ALYREF,14587
AMACR,5849
AMBN,1451
AMBP,738
AMBRA1,22968
AMD1,32756
AMDHD1,3862
AMDHD2,21311
AMELX,3524
AMER1,5882
AMER2,2428
AMER3,1457
AMFR,124042
AMH,9726
AMHR2,1337
AMIGO1,3324
AMIGO2,11382
AMMECR1,9490
AMMECR1L,6407
AMN,3622
AMN1,22725
AMOT,7788
AMOTL1,24625
AMOTL2,42219
AMPD1,3836
AMPD2,11787
AMPD3,20758
AMPH,16643
AMT,10403
AMTN,1872
AMY2B,8808
AMZ1,9168
AMZ2,62287
ANAPC1,20677
ANAPC10,22406
ANAPC11,13166
ANAPC13,19063
ANAPC15,31430
ANAPC16,94915
ANAPC2,44084
ANAPC4,44502
ANAPC5,42231
ANAPC7,39387
ANG,2997
ANGEL1,7902
ANGEL2,31537
ANGPT1,8914
ANGPT2,3338
ANGPT4,2442
ANGPTL1,8767
ANGPTL2,19935
ANGPTL3,1446
ANGPTL4,1125
ANGPTL5,4852
ANGPTL6,1213
ANGPTL7,3109
ANGPTL8,1769
ANHX,1654
ANK1,1005
ANK2,24842
ANK3,47092
ANKAR,12202
ANKDD1A,15936
ANKDD1B,2555
ANKEF1,18330
ANKFN1,10096
ANKFY1,30606
ANKH,25390
ANKHD1,175155
ANKIB1,72553
ANKK1,2407
ANKLE1,1050
ANKLE2,51652
ANKMY1,9150
ANKMY2,30458
ANKRA2,53744
ANKRD1,2206
ANKRD10,156998
ANKRD11,50040
ANKRD12,111140
ANKRD13A,38065
ANKRD13B,8184
ANKRD13C,41015
ANKRD13D,25388
ANKRD16,28419
ANKRD17,120327
ANKRD18A,11284
ANKRD18B,14712
ANKRD2,1223
ANKRD22,7871
ANKRD23,31
ANKRD24,4513
ANKRD26,25719
ANKRD27,20034
ANKRD28,41650
ANKRD29,18665
ANKRD30A,139157
ANKRD30B,1490
ANKRD30BL,28520
ANKRD31,1883
ANKRD33,3027
ANKRD33B,5285
ANKRD34A,3475
ANKRD34B,3045
ANKRD34C,4377
ANKRD35,5116
ANKRD36B,16626
ANKRD36C,77625
ANKRD37,13947
ANKRD39,17537
ANKRD40,242537
ANKRD40CL,11525
ANKRD42,32586
ANKRD44,21425
ANKRD45,1893
ANKRD46,23759
ANKRD49,11750
ANKRD50,59189
ANKRD52,31117
ANKRD53,5004
ANKRD54,27443
ANKRD55,4197
ANKRD6,9558
ANKRD60,1802
ANKRD61,2752
ANKRD62,3694
ANKRD65,10250
ANKRD66,3250
ANKRD7,6900
ANKRD9,11045
ANKS1A,28346
ANKS1B,3999
ANKS3,24564
ANKS4B,3295
ANKS6,5501
ANKUB1,3488
ANKZF1,52177
ANLN,3820
