gene,count
SAMD11,1090
NOC2L,2154
KLHL17,951
PLEKHN1,1501
PERM1,164
HES4,5904
ISG15,55958
AGRN,20548
RNF223,347
C1ORF159,1224
TTLL10,124
TNFRSF18,1546
TNFRSF4,517
SDF4,9273
B3GALT6,1428
C1QTNF12,209
UBE2J2,4727
SCNN1D,738
ACAP3,5830
PUSL1,1610
INTS11,8816
CPTP,2462
TAS1R3,224
DVL1,4517
MXRA8,8716
AURKAIP1,10125
CCNL2,26029
ANKRD65,411
TMEM88B,23
VWA1,11024
ATAD3C,1001
ATAD3B,3038
ATAD3A,1707
TMEM240,694
SSU72,5227
FNDC10,610
MIB2,2206
MMP23B,467
CDK11B,1867
CDK11A,431
NADK,3848
GNB1,15511
CALML6,198
TMEM52,320
CFAP74,72
GABRD,345
PRKCZ,1881
FAAP20,3333
SKI,6595
RER1,9420
PEX10,1515
PLCH2,568
PANK4,2287
HES5,117
TNFRSF14,3828
PRXL2B,1976
MMEL1,39
ACTRT2,34
PRDM16,96
ARHGEF16,2087
MEGF6,3711
TPRG1L,2733
WRAP73,1683
TP73,330
CCDC27,38
SMIM1,767
LRRC47,4329
CEP104,1889
DFFB,742
C1ORF174,2740
AJAP1,92
NPHP4,740
KCNAB2,1217
CHD5,50
RNF207,574
ICMT,3893
GPR153,770
ACOT7,2502
HES2,414
ESPN,186
TNFRSF25,2309
PLEKHG5,1750
NOL9,2956
TAS1R1,27
ZBTB48,1291
KLHL21,3259
PHF13,2079
THAP3,794
DNAJC11,3022
CAMTA1,4216
VAMP3,4757
PER3,1594
UTS2,157
TNFRSF9,298
ERRFI1,6737
SLC45A1,116
RERE,11273
ENO1,18181
CA6,103
SLC2A7,56
SLC2A5,626
GPR157,1728
H6PD,1821
SPSB1,4047
SLC25A33,1369
TMEM201,1226
PIK3CD,1023
CLSTN1,8210
CTNNBIP1,5451
LZIC,3838
NMNAT1,864
RBP7,389
UBE4B,3634
KIF1B,7511
PGD,5591
CENPS,1832
CORT,79
DFFA,2498
PEX14,1010
CASZ1,5566
C1ORF127,85
MASP2,55
SRM,7986
EXOSC10,4310
MTOR,3034
ANGPTL7,34
UBIAD1,1384
DISP3,147
FBXO2,1468
FBXO44,3171
FBXO6,1465
MAD2L2,4857
DRAXIN,270
AGTRAP,4559
C1ORF167,43
MTHFR,2096
CLCN6,1414
NPPA,51
NPPB,32
KIAA2013,5582
PLOD1,7715
MFN2,4450
MIIP,2603
TNFRSF8,106
TNFRSF1B,1014
VPS13D,2989
DHRS3,1787
AADACL4,41
AADACL3,27
C1ORF158,69
PRAMEF12,22
PRAMEF1,57
PRAMEF11,148
PRAMEF2,44
PRAMEF4,8
PRAMEF10,66
PRAMEF6,17
PRAMEF27,112
HNRNPCL2,44
PRAMEF13,16
PRAMEF18,58
PRAMEF8,39
PRAMEF33,14
PRAMEF15,52
PRAMEF14,132
PRAMEF19,59
PRAMEF20,59
LRRC38,47
PDPN,1766
PRDM2,4625
KAZN,2058
TMEM51,1310
FHAD1,502
EFHD2,7487
CTRC,50
CELA2A,15
CELA2B,51
CASP9,1492
DNAJC16,1678
AGMAT,171
DDI2,2741
PLEKHM2,4534
SLC25A34,171
TMEM82,48
FBLIM1,4063
UQCRHL,239
SPEN,5721
ZBTB17,2466
SRARP,2296
HSPB7,167
CLCNKA,155
CLCNKB,16
FAM131C,92
EPHA2,982
ARHGEF19,3570
CPLANE2,518
FBXO42,3720
SZRD1,6107
SPATA21,91
NECAP2,4107
NBPF1,349
CROCC,1921
MFAP2,4941
ATP13A2,1650
SDHB,8742
PADI2,6848
PADI1,50
PADI3,53
PADI4,44
PADI6,41
RCC2,7957
ARHGEF10L,3577
